date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:50	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Oct%202018%2023:57:50%20GMT	https://shellshock.io/robots.txt		(from )
18:57:50	76841/76841	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Oct%202018%2023:57:50%20GMT	https://shellshock.io/	C:/My%20Web%20Sites/SHELL%20SHOCKERS/shellshock.io/index.html	(from )
18:57:50	4617/4617	---M--	200	added ('OK')	image/png	etag:%225b4cf235-1209%22	https://shellshock.io/favicon.png	C:/My%20Web%20Sites/SHELL%20SHOCKERS/shellshock.io/favicon.png	(from https://shellshock.io/)
18:57:50	99/99	---MCZ	200	added ('OK')	application/json	etag:W/%225b85ba09-63%22	https://shellshock.io/manifest.json	C:/My%20Web%20Sites/SHELL%20SHOCKERS/shellshock.io/manifest.json	(from https://shellshock.io/)
18:57:56	189374/189374	---M-Z	200	added ('OK')	application/javascript	etag:%222e3be-5791d4f1a7bd1-gzip%22	http://api.adinplay.com/libs/aiptag/pub/SSK/shellshock.io/tag.min.js	C:/My%20Web%20Sites/SHELL%20SHOCKERS/api.adinplay.com/libs/aiptag/pub/SSK/shellshock.io/tag.min.js	(from https://shellshock.io/)
18:57:56	179997/179997	---M-Z	200	added ('OK')	application/javascript	etag:W/%225abaf18c-2bf1d%22	https://cdn.firebase.com/libs/firebaseui/2.7.0/firebaseui.js	C:/My%20Web%20Sites/SHELL%20SHOCKERS/cdn.firebase.com/libs/firebaseui/2.7.0/firebaseui.js	(from https://shellshock.io/)
18:57:56	356655/356655	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bd7923f-5712f%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/My%20Web%20Sites/SHELL%20SHOCKERS/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://shellshock.io/)
18:57:56	410585/410585	---MC-	200	added ('OK')	text/javascript	date:Thu,%2008%20Mar%202018%2023:02:24%20GMT	https://www.gstatic.com/firebasejs/4.11.0/firebase.js	C:/My%20Web%20Sites/SHELL%20SHOCKERS/www.gstatic.com/firebasejs/4.11.0/firebase.js	(from https://shellshock.io/)
18:57:57	39554/39554	---M-Z	200	added ('OK')	text/css	etag:W/%225abaf18c-9a82%22	https://cdn.firebase.com/libs/firebaseui/2.7.0/firebaseui.css	C:/My%20Web%20Sites/SHELL%20SHOCKERS/cdn.firebase.com/libs/firebaseui/2.7.0/firebaseui.css	(from https://shellshock.io/)
18:57:57	46388/46388	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2029%20Oct%202018%2023:57:57%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/SHELL%20SHOCKERS/connect.facebook.net/en_US/fbevents.js	(from https://shellshock.io/)
